1, person, 0.98, 319, 365, 65, 113
2, person, 0.57, 149, 364, 29, 16
3, truck, 0.87, 707, 372, 254, 84
4, person, 0.82, 319, 357, 30, 24
5, stop sign, 0.75, 777, 319, 24, 18
6, person, 0.99, 403, 365, 52, 104
7, person, 1.00, 510, 375, 62, 101
8, car, 0.89, 198, 376, 47, 23
9, person, 0.74, 165, 363, 30, 15
10, person, 0.93, 235, 361, 39, 39
11, person, 0.85, 239, 360, 36, 26
12, person, 0.62, 626, 364, 44, 82
13, umbrella, 0.84, 332, 389, 37, 93
14, person, 0.90, 61, 366, 42, 57
15, person, 0.82, 607, 364, 43, 65
16, person, 0.84, 0, 380, 45, 92
17, person, 0.71, 820, 362, 28, 15
18, person, 0.52, 22, 366, 26, 17
19, person, 0.52, 998, 357, 25, 33
20, person, 0.54, 114, 364, 34, 23
21, person, 0.90, 942, 367, 29, 26
22, car, 0.95, 708, 371, 253, 83
23, person, 0.98, 608, 365, 55, 83
24, truck, 0.53, 137, 370, 78, 26
25, person, 0.93, 244, 361, 41, 57
26, car, 0.59, 125, 369, 61, 25
27, person, 0.68, 182, 363, 29, 15
28, car, 0.95, 143, 372, 76, 25
29, person, 0.62, 285, 360, 36, 60
30, person, 0.97, 287, 362, 41, 68
31, person, 0.89, 538, 360, 41, 53
32, person, 0.53, 461, 362, 34, 31
33, person, 0.73, 696, 366, 30, 32
34, person, 0.88, 384, 366, 32, 41
35, person, 0.74, 738, 365, 29, 20
36, person, 0.80, 879, 363, 28, 31
37, person, 0.80, 575, 361, 34, 33
38, person, 0.96, 477, 362, 42, 84
39, person, 0.91, 237, 363, 38, 56
