1, car, 0.69, 792, 320, 98, 57
2, person, 0.94, 593, 516, 76, 85
3, car, 0.96, 1327, 617, 315, 278
4, bus, 0.97, 590, 357, 148, 135
5, car, 0.77, 1177, 485, 143, 121
6, car, 0.88, 1173, 373, 113, 78
7, person, 0.87, 811, 588, 55, 62
8, person, 0.53, 1781, 284, 68, 56
9, car, 0.76, 889, 412, 110, 91
10, person, 0.91, 1091, 664, 65, 116
11, car, 0.54, 576, 443, 129, 82
12, person, 0.65, 374, 385, 117, 58
13, person, 0.90, 444, 468, 68, 58
14, truck, 0.57, 796, 213, 90, 44
15, person, 0.72, 310, 576, 51, 67
16, bus, 0.52, 584, 391, 146, 128
17, person, 0.78, 1244, 684, 73, 179
18, bus, 0.76, 875, 607, 197, 317
19, person, 0.83, 371, 500, 74, 62
20, car, 0.52, 998, 261, 78, 42
21, person, 0.81, 0, 698, 51, 119
22, person, 0.94, 540, 504, 73, 83
23, bus, 0.61, 793, 242, 84, 46
24, person, 0.76, 1835, 279, 53, 49
25, person, 0.61, 1090, 501, 41, 68
26, person, 0.83, 511, 791, 62, 95
27, person, 0.98, 1783, 325, 77, 75
28, car, 0.55, 1335, 617, 297, 279
29, car, 0.73, 890, 390, 100, 62
30, person, 0.93, 1147, 399, 47, 57
31, person, 0.84, 403, 507, 86, 80
32, person, 0.95, 570, 492, 69, 76
33, person, 0.52, 1506, 252, 99, 64
34, person, 0.55, 393, 781, 92, 153
35, car, 0.72, 941, 239, 59, 28
36, car, 0.52, 487, 872, 291, 206
37, person, 0.78, 1584, 261, 50, 51
38, car, 0.92, 1549, 645, 355, 253
39, person, 0.68, 283, 526, 76, 84
40, bus, 0.50, 594, 354, 136, 101
41, car, 0.83, 919, 333, 82, 55
42, person, 0.65, 764, 323, 38, 34
43, person, 0.76, 737, 441, 102, 79
44, truck, 0.72, 928, 280, 73, 51
45, car, 0.84, 926, 282, 72, 48
46, car, 0.55, 0, 867, 205, 186
47, motorcycle, 0.73, 1145, 404, 60, 55
48, car, 0.91, 948, 242, 59, 28
49, car, 0.93, 489, 866, 292, 212
50, truck, 0.70, 888, 410, 108, 93
51, person, 0.64, 528, 492, 89, 81
52, car, 0.70, 809, 311, 81, 49
53, car, 0.53, 832, 290, 92, 53
54, car, 0.98, 1357, 505, 176, 143
55, person, 0.82, 1276, 470, 57, 55
56, person, 0.72, 1389, 460, 58, 47
57, bicycle, 0.82, 1756, 359, 96, 63
58, motorcycle, 0.73, 302, 878, 169, 200
59, car, 0.91, 1235, 907, 369, 171
60, truck, 0.72, 192, 624, 293, 222
61, car, 0.71, 1021, 394, 102, 76
62, person, 0.64, 1801, 280, 64, 54
63, car, 0.83, 1019, 319, 85, 52
64, car, 0.92, 908, 363, 88, 59
65, truck, 0.76, 1022, 394, 100, 76
66, person, 0.67, 1245, 688, 73, 149
67, person, 0.94, 320, 576, 52, 68
68, car, 0.96, 195, 625, 296, 216
69, car, 0.64, 793, 401, 100, 65
